,vacancy,extraversion,neuroticism,agreeableness,conscientiousness,openness
456,Radio Show Host,0.01,0.49,0.84,0.4,0.21
457,Broadcast Journalist,0.41,0.05,0.07,0.9,0.32
458,News Anchor,0.33,0.28,0.9,0.48,0.45
459,News Producer,0.24,0.81,0.15,0.91,0.54
460,Field Reporter,0.97,0.8,0.47,0.73,0.59
461,Investigative Journalist,0.86,0.15,0.44,0.09,0.76
462,Photojournalist,0.24,0.45,0.23,0.58,0.73
463,Video Journalist,0.48,0.55,0.1,0.36,0.83
464,Documentary Filmmaker,0.45,0.77,0.78,0.5,0.39
465,Documentary Researcher,0.07,0.37,0.94,0.79,0.71
466,Broadcast Technician,0.38,0.51,0.82,0.94,0.19
467,Camera Operator,0.84,0.29,0.65,0.5,0.27
468,Sound Mixer,0.95,0.63,0.88,0.52,0.04
469,Editor,0.41,0.15,0.99,0.77,0.32
470,Broadcast Engineer,0.4,0.51,0.56,0.42,0.42
471,Television Production Assistant,0.9,0.99,0.95,0.11,0.66
472,Radio Production Assistant,0.72,0.11,0.1,0.11,0.24
473,Radio Station Manager,0.32,0.03,0.81,0.47,0.11
474,Television Station Manager,0.19,0.22,0.85,0.04,0.98
475,Media Relations Specialist,0.8,0.53,0.86,0.36,0.11
476,Public Information Officer,0.76,0.98,0.78,0.61,0.58
477,Community Outreach Coordinator,0.96,0.07,0.87,0.46,0.61
478,Social Services Director,0.14,0.09,0.34,0.91,0.4
479,Nonprofit Executive Director,0.63,0.68,0.62,0.12,0.92
480,Nonprofit Fundraiser,0.32,0.94,0.51,0.4,0.4
481,Nonprofit Grant Writer,0.41,0.34,0.46,0.26,0.43
482,Nonprofit Program Evaluator,0.36,0.54,0.29,0.62,0.02
483,Nonprofit Policy Advocate,0.71,0.23,0.62,0.4,0.07
484,Nonprofit Volunteer Coordinator,0.9,0.71,0.16,0.86,0.25
485,Nonprofit Membership Coordinator,0.46,0.51,0.58,0.57,0.68
486,Nonprofit Communications Director,0.11,0.54,0.47,0.67,0.12
487,Nonprofit Marketing Director,0.43,0.86,0.58,0.51,0.77
488,Nonprofit Development Director,0.2,0.36,0.98,0.77,0.66
489,Nonprofit Finance Director,0.01,0.57,0.02,0.42,0.09
490,Nonprofit Operations Director,0.32,0.86,0.47,0.94,0.82
491,Nonprofit Human Resources Director,0.96,0.36,0.92,0.69,0.7
492,Nonprofit IT Director,0.15,0.79,0.67,0.51,0.61
493,Nonprofit Facilities Director,0.99,0.89,0.38,0.77,0.35
494,Nonprofit Legal Counsel,0.24,0.98,0.45,0.19,0.87
495,Nonprofit Board Member,1.0,0.12,0.36,0.77,0.36
496,Nonprofit Advisory Board Member,0.03,0.6,0.09,0.72,0.51
497,Nonprofit Consultant,0.48,0.58,0.45,0.77,0.39
498,Nonprofit Researcher,0.21,0.23,0.58,0.69,0.66
499,Nonprofit Educator,0.32,0.36,0.96,0.81,0.54
